fecha,pendientes_e_inactivas,acostadas,clase_4,clase_3,clase_2,clase_1,activo,terminado,bloqueado,estrellas_por_activa,estrellas_por_terminada,resultados_reportados,Integrantes,Notas
2018-11-09,123,NA,2,6,1,1,10,17,1,0.8,0,NA,4,NA
2018-11-16,125,NA,3,6,4,1,14,7,1,0.285714285714286,0.142857142857143,NA,4,NA
2018-11-23,127,NA,0,4,10,1,15,2,0,0.4,0,NA,4,NA
2019-04-12,148,NA,0,0,5,6,11,8,16,NA,NA,NA,4,NA
2019-05-03,148,NA,0,0,12,9,21,14,3,NA,NA,NA,4.5,Entrada FA
2019-05-10,13,NA,0,1,6,11,18,10,1,NA,NA,NA,5.5,Entrada NR. Implementamos WIP limit en columna de pendientes.
2019-05-17,19,NA,0,4,3,10,17,8,1,NA,NA,NA,5.5,NA
2019-05-24,23,NA,0,1,5,9,15,11,12,NA,NA,NA,5.5,NA
2019-05-31,29,NA,0,0,6,8,14,11,3,NA,NA,NA,5.5,NA
2019-06-07,25,NA,0,0,9,9,18,5,4,NA,NA,NA,5.5,NA
2019-06-14,26,NA,0,0,12,5,17,4,4,NA,NA,NA,5.5,NA
2019-06-21,25,NA,0,0,9,6,15,7,7,NA,NA,NA,6.5,Entrada de FR
2019-06-28,26,NA,0,1,6,10,17,10,4,NA,NA,NA,5.5,Salida de HP
2019-07-05,28,NA,0,0,7,6,13,11,4,NA,NA,NA,5.5,NA
2019-07-12,26,NA,0,0,9,10,19,16,3,NA,NA,NA,5.5,NA
2019-07-19,28,NA,0,0,8,13,21,8,2,NA,NA,NA,5.5,NA
2019-07-26,29,NA,0,0,11,9,20,7,3,NA,NA,NA,5.5,NA
2019-08-02,25,NA,0,2,8,9,19,11,4,NA,NA,NA,5.5,Salida DM y entrada MB. 5 integrantes.
2019-08-09,28,NA,0,3,6,10,19,9,4,NA,NA,NA,5.5,NA
2019-08-16,29,NA,0,2,3,14,19,9,4,NA,NA,NA,5.5,NA
2019-08-23,29,NA,0,4,3,8,15,7,4,NA,NA,NA,5.5,NA
2019-09-02,30,NA,0,3,4,6,13,9,2,NA,NA,NA,5.5,NA
2019-09-06,26,NA,0,3,4,8,15,4,5,NA,NA,NA,5.5,NA
2019-09-13,29,NA,0,4,4,4,12,8,2,NA,NA,NA,4.5,Salida de EC
2019-09-20,28,NA,0,5,5,5,15,1,3,NA,NA,NA,4.5,NA
2019-09-27,29,NA,0,4,2,6,12,2,3,NA,NA,NA,4.5,NA
2019-10-04,25,NA,0,3,5,6,14,3,3,NA,NA,NA,4.5,NA
2019-10-11,26,NA,0,1,8,3,12,2,4,3.25,3.5,NA,4.5,NA
2019-10-18,25,NA,0,1,8,5,14,3,6,3.21,2.33,NA,4.5,NA
2019-10-25,20,NA,0,2,6,4,12,4,6,2.25,5.5,NA,4,Salida de FR
2019-11-01,21,NA,0,1,3,5,9,9,2,2.55,1.77,NA,5,Entrada GV. 
2019-11-08,22,NA,0,0,3,6,9,6,4,2.33,1,NA,5,NA
2019-11-15,25,NA,0,0,5,5,10,4,4,0.8,6,NA,5,NA
2019-11-22,24,NA,0,1,4,5,10,3,4,1.8,1,NA,5,NA
2019-11-29,24,NA,0,1,5,5,11,5,5,1.45,1.8,NA,5,NA
2019-12-06,24,NA,0,1,7,5,13,5,5,2.46,0.6,NA,5,NA
2019-12-18,23,NA,0,4,8,2,14,5,4,2.43,2,NA,5,NA
2020-01-10,23,NA,0,2,8,2,12,5,3,1.8,2.8,NA,5,NA
2020-01-17,15,NA,0,3,4,4,11,2,3,2.82,1,NA,5,NA
2020-01-24,16,NA,0,3,7,5,15,2,2,3.06,0.5,NA,5,NA
2020-01-31,16,NA,0,3,6,6,15,3,5,3.2,2.67,NA,5,NA
2020-02-07,15,NA,0,3,8,6,17,4,5,3.9,1.5,NA,5,NA
2020-02-14,15,NA,0,3,10,5,18,3,4,4.05,4.6,NA,5,NA
2020-02-21,19,NA,0,1,7,4,12,6,4,4.75,2.83,NA,5,NA
2020-02-28,15,NA,0,2,6,4,12,7,2,5.16,2.42,NA,5,NA
2020-03-06,16,NA,0,3,2,2,7,4,3,4.42,10,NA,5,NA
2020-03-13,17,NA,0,3,6,0,9,2,1,3.2,9,NA,5,NA
2020-03-20,14,NA,0,2,5,1,8,3,1,4.75,5,NA,5,NA
2020-03-27,15,NA,0,3,5,3,11,3,2,3.9,4,NA,5,NA
2020-04-03,14,NA,0,1,6,3,10,3,2,3.6,3.5,NA,5,NA
2020-04-13,16,NA,0,1,5,3,9,2,2,4.3,2.5,NA,5,NA
2020-04-17,14,NA,0,3,7,2,12,2,3,4.41,4.5,NA,5,NA
2020-04-24,12,NA,0,3,6,3,12,6,2,3.12,3.8,NA,5,NA
2020-04-30,13,NA,0,2,5,3,10,5,1,5.5,2,NA,5,NA
2020-05-08,13,NA,0,2,9,5,16,1,0,3.9,0,NA,5,NA
2020-05-15,12,NA,4,3,10,3,20,1,0,4.7,7,NA,5,NA
2020-05-22,11,NA,0,2,8,6,16,6,0,6.25,2.3,NA,5,NA
2020-05-29,9,NA,0,3,8,4,15,7,0,6,4.7,NA,5,NA
2020-06-05,7,NA,0,2,7,6,15,5,0,4.9,8.6,NA,5,NA
2020-06-12,10,NA,0,3,9,4,16,3,0,3.9,3,NA,5,NA
2020-06-19,9,NA,0,1,8,7,16,4,0,2.6,3.7,NA,5,NA
2020-06-26,8,NA,0,3,9,6,18,4,0,4,1.5,NA,5,NA
2020-07-03,7,NA,0,3,9,8,20,2,3,2.7,0.5,NA,5,NA
2020-07-10,9,NA,0,2,12,9,23,2,2,4.7,2.5,NA,5,NA
2020-07-17,5,NA,1,4,10,6,21,4,2,5.23,2.25,0,5,NA
2020-07-24,7,NA,0,4,9,5,18,3,2,6.3,7.3,0,5,NA
2020-07-31,4,NA,0,3,10,3,16,7,2,7.1,6.2,0,5,NA
2020-08-07,4,NA,0,2,8,3,13,3,3,6.8,12,5,5,NA
2020-08-14,6,NA,1,2,10,3,16,1,2,7.4,4,0,5,Vacaciones de FA
2020-08-21,7,NA,0,3,9,5,17,2,1,7.05,9,0,4.5,Salida GV. Entrada de Andrea
2020-08-28,7,NA,0,5,11,2,18,0,0,5.5,0,0,4.5,NA
2020-09-04,6,NA,0,2,6,2,10,7,1,7.1,3.57,0,4.5,NA
2020-09-11,7,NA,2,1,7,4,14,2,1,5.214,5,0,4.5,NA
2020-09-19,6,NA,0,0,10,2,12,5,1,5.5833,7.4,2,4.5,NA
2020-09-25,20,0,0,0,6,2,8,4,1,5.25,3.75,2,3.5,Vacaciones de NR
2020-10-02,19,0,0,1,7,2,10,2,6,6.5,4,4,3.5,Vacaciones de NR
2020-10-09,18,0,0,1,4,3,8,3,6,7.4,5.3,0,3.5,Vacaciones de ER
2020-10-16,19,1,0,1,4,3,8,1,6,8.12,1,0,3.5,Vacaciones de ER
2020-10-23,19,0,0,2,5,2,9,4,4,6.9,5,1,3.5,Vacaciones de ER
2020-10-30,19,1,0,2,5,2,9,1,3,8.67,0,5,4.5,NA
2020-11-06,19,0,0,2,4,2,8,2,3,7,3,1,4.5,Vacaciones de MB
2020-11-13,21,0,0,2,7,1,10,1,3,8.5,6,1,5.5,NA
2020-11-20,20,0,0,1,7,1,9,2,3,8.88,7.5,0,5.5,NA
2020-11-27,20,0,0,1,4,1,6,5,2,9.66,6.8,4,5.5,NA
2020-12-04,17,0,0,1,7,2,10,1,1,7.8,13,1,5.5,NA
2020-12-11,18,1,0,1,7,1,9,1,1,8.56,14,2,5.5,NA
2020-12-18,16,0,0,1,6,1,8,2,2,10.7,5,1,5.5,Salida de AS
2021-01-08,16,2,0,1,6,1,8,0,2,11.6,0,0,5,Es una semana de dos dias
2021-01-15,16,0,0,0,9,1,10,0,2,5.3,0,0,5,NA
2021-01-22,16,0,0,0,8,1,9,3,2,5.67,4.67,0,5,NA
2021-01-29,16,0,0,0,9,1,10,0,2,6,0,0,5.5,Entrada de MM
2021-02-05,13,0,0,0,9,3,12,1,2,5.33,6,0,5.5,NA
2021-02-12,16,0,0,0,8,2,10,1,2,6.33,5,1,5.5,NA
2021-02-19,15,0,0,0,8,2,10,1,2,8.9,5,1,5.5,NA
2021-02-26,15,0,0,1,7,2,10,0,2,9.9,0,0,5.5,NA
2021-03-05,15,1,0,1,5,2,8,2,2,10.12,14,1,5.5,NA
2021-03-12,18,0,0,2,5,2,9,0,2,8.56,0,1,5.5,NA
2021-03-19,18,0,0,2,4,2,8,2,2,10.12,4.5,2,5.5,NA
